"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","10.1.3.206","3.81.34.98","TCP","55","59892  >  443 [ACK] Seq=1 Ack=1 Win=255 Len=1"
"2","0.009087700","3.81.34.98","10.1.3.206","TCP","60","443  >  59892 [ACK] Seq=1 Ack=2 Win=442 Len=0"
"3","0.232347300","10.1.3.206","216.19.192.1","TCP","55","63100  >  443 [ACK] Seq=1 Ack=1 Win=254 Len=1"
"4","0.241040500","216.19.192.1","10.1.3.206","TCP","60","443  >  63100 [ACK] Seq=1 Ack=2 Win=51100 Len=0"
"5","1.137582800","34.160.212.185","10.1.78.107","TCP","70","443  >  54900 [FIN, ACK] Seq=1 Ack=1 Win=1033 Len=0 TSval=2176202812 TSecr=20046"
"6","1.753969400","10.1.3.206","140.82.113.21","TLSv1.2","133","Application Data"
"7","1.754128300","10.1.3.206","140.82.113.21","TLSv1.2","16460","Application Data"
"8","1.754176800","10.1.3.206","140.82.113.21","TLSv1.2","462","Application Data"
"9","1.762697100","140.82.113.21","10.1.3.206","TCP","60","443  >  51183 [ACK] Seq=1 Ack=2952 Win=113 Len=0"
"10","1.762697100","140.82.113.21","10.1.3.206","TCP","60","443  >  51183 [ACK] Seq=1 Ack=8696 Win=124 Len=0"
"11","1.762697100","140.82.113.21","10.1.3.206","TCP","60","443  >  51183 [ACK] Seq=1 Ack=16486 Win=139 Len=0"
"12","1.765294900","140.82.113.21","10.1.3.206","TLSv1.2","102","Application Data"
"13","1.777034200","140.82.113.21","10.1.3.206","TLSv1.2","543","Application Data"
"14","1.777115400","10.1.3.206","140.82.113.21","TCP","54","51183  >  443 [ACK] Seq=16894 Ack=538 Win=253 Len=0"
"15","2.492583800","10.1.3.206","140.82.113.4","TLSv1.2","1667","Application Data"
"16","2.492700100","10.1.3.206","104.40.82.182","TLSv1.2","257","Application Data"
"17","2.492758600","10.1.3.206","104.40.82.182","TLSv1.2","2099","Application Data"
"18","2.493107600","10.1.3.206","140.82.112.5","TLSv1.2","138","Application Data"
"19","2.493164400","10.1.3.206","140.82.112.5","TLSv1.2","10214","Application Data"
"20","2.500737500","140.82.113.4","10.1.3.206","TCP","60","443  >  55094 [ACK] Seq=1 Ack=1437 Win=102 Len=0"
"21","2.500737500","140.82.113.4","10.1.3.206","TCP","60","443  >  55094 [ACK] Seq=1 Ack=1614 Win=105 Len=0"
"22","2.501532900","140.82.112.5","10.1.3.206","TCP","60","443  >  61418 [ACK] Seq=1 Ack=1521 Win=89 Len=0"
"23","2.501532900","140.82.112.5","10.1.3.206","TCP","60","443  >  61418 [ACK] Seq=1 Ack=10245 Win=106 Len=0"
"24","2.502035200","140.82.112.5","10.1.3.206","TLSv1.2","102","Application Data"
"25","2.535896500","10.1.3.206","140.82.113.21","TLSv1.2","133","Application Data"
"26","2.536121700","10.1.3.206","140.82.113.21","TLSv1.2","16460","Application Data"
"27","2.536225100","10.1.3.206","140.82.113.21","TLSv1.2","13812","Application Data"
"28","2.545174600","140.82.113.21","10.1.3.206","TCP","60","443  >  51183 [ACK] Seq=538 Ack=33379 Win=155 Len=0"
"29","2.545174600","140.82.113.21","10.1.3.206","TCP","60","443  >  51183 [ACK] Seq=538 Ack=47137 Win=142 Len=0"
"30","2.545327800","140.82.113.21","10.1.3.206","TLSv1.2","102","Application Data"
"31","2.549670900","10.1.3.206","140.82.112.5","TCP","54","61418  >  443 [ACK] Seq=10245 Ack=49 Win=255 Len=0"
