"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","10.1.3.206","104.18.32.47","TCP","55","51134  >  443 [ACK] Seq=1 Ack=1 Win=255 Len=1"
"2","0.008526100","104.18.32.47","10.1.3.206","TCP","66","443  >  51134 [ACK] Seq=1 Ack=2 Win=11 Len=0 SLE=1 SRE=2"
"3","0.516873700","10.1.3.206","23.48.9.252","TCP","55","59123  >  443 [ACK] Seq=1 Ack=1 Win=252 Len=1"
"4","0.525545900","23.48.9.252","10.1.3.206","TCP","66","443  >  59123 [ACK] Seq=1 Ack=2 Win=592 Len=0 SLE=1 SRE=2"
"5","1.034571000","10.1.3.206","208.103.161.2","TCP","55","63349  >  443 [ACK] Seq=1 Ack=1 Win=251 Len=1"
"6","1.043274900","208.103.161.2","10.1.3.206","TCP","66","443  >  63349 [ACK] Seq=1 Ack=2 Win=16 Len=0 SLE=1 SRE=2"
"7","2.779383200","172.64.155.209","10.1.3.206","TLSv1.2","82","Application Data"
"8","2.779697100","10.1.3.206","172.64.155.209","TLSv1.2","86","Application Data"
"9","2.788095900","172.64.155.209","10.1.3.206","TCP","60","443  >  61303 [ACK] Seq=29 Ack=33 Win=82 Len=0"
"10","4.596273400","10.1.3.206","4.150.241.254","TCP","55","56805  >  443 [ACK] Seq=1 Ack=1 Win=252 Len=1"
"11","4.605776700","4.150.241.254","10.1.3.206","TCP","66","443  >  56805 [ACK] Seq=1 Ack=2 Win=16384 Len=0 SLE=1 SRE=2"
"12","4.714904200","10.1.3.206","23.38.126.24","TCP","66","55353  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"13","4.718190600","23.38.126.24","10.1.3.206","TCP","66","443  >  55353 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1384 SACK_PERM WS=128"
"14","4.718322100","10.1.3.206","23.38.126.24","TCP","54","55353  >  443 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"15","4.720365800","10.1.3.206","23.38.126.24","TLSv1.3","524","Client Hello (SNI=catalog.gamepass.com)"
"16","4.724141500","23.38.126.24","10.1.3.206","TLSv1.3","1514","Server Hello, Change Cipher Spec, Application Data"
"17","4.724141500","23.38.126.24","10.1.3.206","TCP","1514","443  >  55353 [PSH, ACK] Seq=1461 Ack=471 Win=64128 Len=1460 [TCP PDU reassembled in 20]"
"18","4.724141500","23.38.126.24","10.1.3.206","TCP","1230","443  >  55353 [PSH, ACK] Seq=2921 Ack=471 Win=64128 Len=1176 [TCP PDU reassembled in 20]"
"19","4.724277000","10.1.3.206","23.38.126.24","TCP","54","55353  >  443 [ACK] Seq=471 Ack=2921 Win=65280 Len=0"
"20","4.735066600","23.38.126.24","10.1.3.206","TLSv1.3","1198","Application Data, Application Data, Application Data"
"21","4.735135700","10.1.3.206","23.38.126.24","TCP","54","55353  >  443 [ACK] Seq=471 Ack=5241 Win=65280 Len=0"
"22","4.736077200","10.1.3.206","23.38.126.24","TLSv1.3","134","Change Cipher Spec, Application Data"
"23","4.738055800","10.1.3.206","23.38.126.24","TLSv1.3","134","Application Data"
"24","4.738133900","10.1.3.206","23.38.126.24","TLSv1.3","169","Application Data"
"25","4.739171400","23.38.126.24","10.1.3.206","TCP","60","443  >  55353 [ACK] Seq=5241 Ack=551 Win=64128 Len=0"
"26","4.739171400","23.38.126.24","10.1.3.206","TLSv1.3","357","Application Data"
"27","4.739171400","23.38.126.24","10.1.3.206","TLSv1.3","357","Application Data"
"28","4.739281600","10.1.3.206","23.38.126.24","TCP","54","55353  >  443 [ACK] Seq=746 Ack=5847 Win=64768 Len=0"
"29","4.741108200","23.38.126.24","10.1.3.206","TCP","60","443  >  55353 [ACK] Seq=5847 Ack=631 Win=64128 Len=0"
"30","4.741108200","23.38.126.24","10.1.3.206","TLSv1.3","115","Application Data"
"31","4.741108200","23.38.126.24","10.1.3.206","TLSv1.3","85","Application Data"
"32","4.741184500","10.1.3.206","23.38.126.24","TCP","54","55353  >  443 [ACK] Seq=746 Ack=5939 Win=64768 Len=0"
"33","4.741400300","10.1.3.206","23.38.126.24","TLSv1.3","85","Application Data"
"34","4.742257000","23.38.126.24","10.1.3.206","TLSv1.3","211","Application Data"
"35","4.742257000","23.38.126.24","10.1.3.206","TLSv1.3","85","Application Data"
"36","4.742329400","10.1.3.206","23.38.126.24","TCP","54","55353  >  443 [ACK] Seq=777 Ack=6127 Win=64512 Len=0"
"37","4.742692300","10.1.3.206","23.38.126.24","TCP","54","55353  >  443 [FIN, ACK] Seq=777 Ack=6127 Win=64512 Len=0"
"38","4.745726200","23.38.126.24","10.1.3.206","TLSv1.3","78","Application Data"
"39","4.745726200","23.38.126.24","10.1.3.206","TCP","60","443  >  55353 [FIN, ACK] Seq=6151 Ack=778 Win=64128 Len=0"
"40","4.745779700","10.1.3.206","23.38.126.24","TCP","54","55353  >  443 [RST, ACK] Seq=778 Ack=6151 Win=0 Len=0"
"41","4.782383900","10.1.3.206","150.171.84.254","TCP","55","50289  >  443 [ACK] Seq=1 Ack=1 Win=251 Len=1"
"42","4.791400600","150.171.84.254","10.1.3.206","TCP","66","443  >  50289 [ACK] Seq=1 Ack=2 Win=145 Len=0 SLE=1 SRE=2"
"43","4.958600700","10.1.3.206","13.107.246.41","TCP","55","51606  >  443 [ACK] Seq=1 Ack=1 Win=250 Len=1"
"44","4.967803100","13.107.246.41","10.1.3.206","TCP","66","443  >  51606 [ACK] Seq=1 Ack=2 Win=152 Len=0 SLE=1 SRE=2"
"45","5.123659100","10.1.3.206","204.79.197.222","TCP","55","51128  >  443 [ACK] Seq=1 Ack=1 Win=253 Len=1"
"46","5.132804700","204.79.197.222","10.1.3.206","TCP","66","443  >  51128 [ACK] Seq=1 Ack=2 Win=16384 Len=0 SLE=1 SRE=2"
"47","10.248129600","3.217.147.217","10.1.81.63","TLSv1.2","139","Application Data"
"48","10.473270700","10.1.3.206","52.85.193.6","TCP","55","62044  >  443 [ACK] Seq=1 Ack=1 Win=255 Len=1"
"49","10.482081400","52.85.193.6","10.1.3.206","TCP","66","443  >  62044 [ACK] Seq=1 Ack=2 Win=136 Len=0 SLE=1 SRE=2"
"50","11.962308100","10.1.3.206","23.38.126.25","TCP","55","51389  >  443 [ACK] Seq=1 Ack=1 Win=251 Len=1"
"51","11.965431800","23.38.126.25","10.1.3.206","TCP","66","443  >  51389 [ACK] Seq=1 Ack=2 Win=496 Len=0 SLE=1 SRE=2"
"52","12.627757200","10.1.3.206","192.178.155.95","TCP","66","63649  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"53","12.637123600","192.178.155.95","10.1.3.206","TCP","66","443  >  63649 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1412 SACK_PERM WS=256"
"54","12.637221300","10.1.3.206","192.178.155.95","TCP","54","63649  >  443 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"55","12.637662600","10.1.3.206","192.178.155.95","TLSv1.3","1855","Client Hello (SNI=safebrowsing.googleapis.com)"
"56","12.646834200","192.178.155.95","10.1.3.206","TCP","60","443  >  63649 [ACK] Seq=1 Ack=1413 Win=268288 Len=0"
"57","12.646834200","192.178.155.95","10.1.3.206","TCP","60","443  >  63649 [ACK] Seq=1 Ack=1802 Win=268032 Len=0"
"58","12.648338600","192.178.155.95","10.1.3.206","TLSv1.3","1466","Server Hello, Change Cipher Spec"
"59","12.648338600","192.178.155.95","10.1.3.206","TCP","1466","443  >  63649 [PSH, ACK] Seq=1413 Ack=1802 Win=268032 Len=1412 [TCP PDU reassembled in 62]"
"60","12.648338600","192.178.155.95","10.1.3.206","TCP","1466","443  >  63649 [ACK] Seq=2825 Ack=1802 Win=268032 Len=1412 [TCP PDU reassembled in 62]"
"61","12.648338600","192.178.155.95","10.1.3.206","TCP","1466","443  >  63649 [PSH, ACK] Seq=4237 Ack=1802 Win=268032 Len=1412 [TCP PDU reassembled in 62]"
"62","12.648338600","192.178.155.95","10.1.3.206","TLSv1.3","179","Application Data"
"63","12.648486900","10.1.3.206","192.178.155.95","TCP","54","63649  >  443 [ACK] Seq=1802 Ack=2825 Win=65280 Len=0"
"64","12.648519500","10.1.3.206","192.178.155.95","TCP","54","63649  >  443 [ACK] Seq=1802 Ack=5649 Win=65280 Len=0"
"65","12.649947500","10.1.3.206","192.178.155.95","TLSv1.3","144","Change Cipher Spec, Application Data"
"66","12.650056700","10.1.3.206","192.178.155.95","TLSv1.3","146","Application Data"
"67","12.650155400","10.1.3.206","192.178.155.95","TLSv1.3","937","Application Data"
"68","12.659319500","192.178.155.95","10.1.3.206","TLSv1.3","1070","Application Data, Application Data"
"69","12.659594500","10.1.3.206","192.178.155.95","TLSv1.3","85","Application Data"
"70","12.660399100","192.178.155.95","10.1.3.206","TLSv1.3","85","Application Data"
"71","12.674147300","192.178.155.95","10.1.3.206","TCP","60","443  >  63649 [ACK] Seq=6821 Ack=2898 Win=267008 Len=0"
"72","12.684957400","192.178.155.95","10.1.3.206","TLSv1.3","290","Application Data"
"73","12.684957400","192.178.155.95","10.1.3.206","TLSv1.3","1466","Application Data"
"74","12.684957400","192.178.155.95","10.1.3.206","TLSv1.3","1466","Application Data"
"75","12.685087700","192.178.155.95","10.1.3.206","TLSv1.3","1466","Application Data"
"76","12.685087700","192.178.155.95","10.1.3.206","TLSv1.3","1466","Application Data"
"77","12.685195400","10.1.3.206","192.178.155.95","TCP","54","63649  >  443 [ACK] Seq=2898 Ack=7057 Win=64000 Len=0"
"78","12.685247000","10.1.3.206","192.178.155.95","TCP","54","63649  >  443 [ACK] Seq=2898 Ack=9881 Win=65280 Len=0"
"79","12.685270600","10.1.3.206","192.178.155.95","TCP","54","63649  >  443 [ACK] Seq=2898 Ack=12705 Win=65280 Len=0"
"80","12.685436100","192.178.155.95","10.1.3.206","TLSv1.3","1466","Application Data"
"81","12.685436100","192.178.155.95","10.1.3.206","TLSv1.3","1466","Application Data"
"82","12.685436100","192.178.155.95","10.1.3.206","TLSv1.3","1466","Application Data"
"83","12.685436100","192.178.155.95","10.1.3.206","TLSv1.3","1466","Application Data"
"84","12.685542000","10.1.3.206","192.178.155.95","TCP","54","63649  >  443 [ACK] Seq=2898 Ack=15529 Win=65280 Len=0"
"85","12.685580800","10.1.3.206","192.178.155.95","TCP","54","63649  >  443 [ACK] Seq=2898 Ack=18353 Win=65280 Len=0"
"86","12.686467100","192.178.155.95","10.1.3.206","TLSv1.3","1466","Application Data"
"87","12.686467100","192.178.155.95","10.1.3.206","TLSv1.3","1466","Application Data"
