"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","10.1.3.206","69.147.92.11","TCP","55","52497  >  443 [ACK] Seq=1 Ack=1 Win=253 Len=1"
"2","0.008443200","69.147.92.11","10.1.3.206","TCP","66","443  >  52497 [ACK] Seq=1 Ack=2 Win=5 Len=0 SLE=1 SRE=2"
"3","0.081447800","10.1.3.206","35.211.202.130","TCP","55","52378  >  443 [ACK] Seq=1 Ack=1 Win=255 Len=1"
"4","0.101258500","35.211.202.130","10.1.3.206","TCP","66","443  >  52378 [ACK] Seq=1 Ack=2 Win=1045 Len=0 SLE=1 SRE=2"
"5","0.902010000","10.1.3.206","140.82.112.22","TLSv1.2","133","Application Data"
"6","0.902137800","10.1.3.206","140.82.112.22","TLSv1.2","15922","Application Data"
"7","0.910437200","140.82.112.22","10.1.3.206","TCP","60","443  >  58770 [ACK] Seq=1 Ack=1516 Win=108 Len=0"
"8","0.910658100","140.82.112.22","10.1.3.206","TCP","60","443  >  58770 [ACK] Seq=1 Ack=15948 Win=136 Len=0"
"9","0.911206200","140.82.112.22","10.1.3.206","TLSv1.2","102","Application Data"
"10","0.961675700","10.1.3.206","140.82.112.22","TCP","54","58770  >  443 [ACK] Seq=15948 Ack=49 Win=251 Len=0"
"11","1.056951400","140.82.112.22","10.1.3.206","TLSv1.2","546","Application Data"
"12","1.104194300","10.1.3.206","140.82.112.22","TCP","54","58770  >  443 [ACK] Seq=15948 Ack=541 Win=255 Len=0"
"13","1.785554500","52.72.152.67","10.1.3.206","TLSv1.2","93","Application Data"
"14","1.785554500","52.72.152.67","10.1.3.206","TLSv1.2","78","Application Data"
"15","1.785554500","52.72.152.67","10.1.3.206","TCP","60","443  >  54319 [FIN, ACK] Seq=64 Ack=1 Win=635 Len=0"
"16","1.785804400","10.1.3.206","52.72.152.67","TCP","54","54319  >  443 [ACK] Seq=1 Ack=64 Win=255 Len=0"
"17","1.785840000","10.1.3.206","52.72.152.67","TCP","54","54319  >  443 [ACK] Seq=1 Ack=65 Win=255 Len=0"
"18","1.786068400","10.1.3.206","52.72.152.67","TCP","54","54319  >  443 [FIN, ACK] Seq=1 Ack=65 Win=255 Len=0"
"19","1.794825300","52.72.152.67","10.1.3.206","TCP","60","443  >  54319 [ACK] Seq=65 Ack=2 Win=635 Len=0"
"20","2.378847500","10.1.3.206","140.82.112.22","TLSv1.2","133","Application Data"
"21","2.378943700","10.1.3.206","140.82.112.22","TLSv1.2","16460","Application Data"
"22","2.378993900","10.1.3.206","140.82.112.22","TLSv1.2","13731","Application Data"
"23","2.387304800","140.82.112.22","10.1.3.206","TCP","60","443  >  58770 [ACK] Seq=541 Ack=23207 Win=150 Len=0"
"24","2.387304800","140.82.112.22","10.1.3.206","TCP","60","443  >  58770 [ACK] Seq=541 Ack=26079 Win=156 Len=0"
"25","2.387304800","140.82.112.22","10.1.3.206","TCP","60","443  >  58770 [ACK] Seq=541 Ack=28951 Win=159 Len=0"
"26","2.387549400","140.82.112.22","10.1.3.206","TCP","60","443  >  58770 [ACK] Seq=541 Ack=46110 Win=143 Len=0"
"27","2.387868100","140.82.112.22","10.1.3.206","TLSv1.2","102","Application Data"
"28","2.439522200","10.1.3.206","140.82.112.22","TCP","54","58770  >  443 [ACK] Seq=46110 Ack=589 Win=255 Len=0"
"29","2.554239000","140.82.112.22","10.1.3.206","TLSv1.2","546","Application Data"
"30","2.598478300","10.1.3.206","140.82.112.22","TCP","54","58770  >  443 [ACK] Seq=46110 Ack=1081 Win=253 Len=0"
