"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","10.1.3.206","23.48.203.109","QUIC","1292","Initial, DCID=4f74dc9f0f5cfa92, PKN: 1, CRYPTO, PADDING, PING, CRYPTO, PING, PADDING, PING, PADDING, PING, PADDING, PING, PING, PADDING, CRYPTO, CRYPTO, CRYPTO, CRYPTO"
"2","0.000093200","10.1.3.206","23.48.203.109","QUIC","1292","Initial, DCID=4f74dc9f0f5cfa92, PKN: 2, PING, PING, CRYPTO, PADDING, CRYPTO, CRYPTO, PING, PADDING, CRYPTO, CRYPTO, PING, PING, CRYPTO, CRYPTO, PING, CRYPTO, PING, PADDING, PING, CRYPTO, PING, CRYPTO"
"3","0.012022600","23.48.203.109","10.1.3.206","QUIC","82","Initial, SCID=3958f8e736405f2e, PKN: 1, ACK"
"4","0.012428800","23.48.203.109","10.1.3.206","QUIC","1292","Initial, SCID=3958f8e736405f2e, PKN: 2, ACK, PADDING"
"5","0.015130300","23.48.203.109","10.1.3.206","QUIC","1292","Initial, SCID=3958f8e736405f2e, PKN: 3, CRYPTO, PADDING"
"6","0.015130300","23.48.203.109","10.1.3.206","QUIC","302","Handshake, SCID=3958f8e736405f2e"
"7","0.016087800","10.1.3.206","23.48.203.109","QUIC","165","Protected Payload (KP0), DCID=3958f8e736405f2e"
"8","0.016125300","10.1.3.206","23.48.203.109","QUIC","114","Protected Payload (KP0), DCID=3958f8e736405f2e"
"9","0.027604200","23.48.203.109","10.1.3.206","QUIC","345","Protected Payload (KP0)"
"10","0.027604200","23.48.203.109","10.1.3.206","QUIC","102","Protected Payload (KP0)"
"11","0.027604200","23.48.203.109","10.1.3.206","QUIC","63","Protected Payload (KP0)"
"12","0.027604200","23.48.203.109","10.1.3.206","QUIC","112","Protected Payload (KP0)"
"13","0.028053600","10.1.3.206","23.48.203.109","QUIC","73","Protected Payload (KP0), DCID=3958f8e736405f2e"
"14","0.028121600","10.1.3.206","23.48.203.109","QUIC","73","Protected Payload (KP0), DCID=3958f8e736405f2e"
"15","0.036228100","23.48.203.109","10.1.3.206","QUIC","67","Protected Payload (KP0)"
"16","0.239176000","10.1.3.206","23.48.203.109","QUIC","71","Protected Payload (KP0), DCID=3958f8e736405f2e"
"17","0.251953200","23.48.203.109","10.1.3.206","QUIC","68","Protected Payload (KP0)"
"18","0.445117300","10.1.3.206","172.64.148.235","TLSv1.2","144","Application Data"
"19","0.453629600","172.64.148.235","10.1.3.206","TCP","60","443  >  54676 [ACK] Seq=1 Ack=91 Win=16 Len=0"
"20","0.462692700","10.1.3.206","23.48.203.109","QUIC","71","Protected Payload (KP0), DCID=3958f8e736405f2e"
"21","0.496327600","23.48.203.109","10.1.3.206","QUIC","68","Protected Payload (KP0)"
"22","0.521775600","172.64.148.235","10.1.3.206","TLSv1.2","134","Application Data"
"23","0.564509700","10.1.3.206","172.64.148.235","TCP","54","54676  >  443 [ACK] Seq=91 Ack=81 Win=253 Len=0"
"24","0.705343000","10.1.3.206","23.48.203.109","QUIC","71","Protected Payload (KP0), DCID=3958f8e736405f2e"
"25","0.745126400","23.48.203.109","10.1.3.206","QUIC","68","Protected Payload (KP0)"
"26","0.770857700","10.1.3.206","208.103.161.2","TCP","55","58326  >  443 [ACK] Seq=1 Ack=1 Win=255 Len=1"
"27","0.779342000","208.103.161.2","10.1.3.206","TCP","66","443  >  58326 [ACK] Seq=1 Ack=2 Win=16 Len=0 SLE=1 SRE=2"
"28","0.955069900","10.1.3.206","23.48.203.109","QUIC","71","Protected Payload (KP0), DCID=3958f8e736405f2e"
"29","0.989530300","23.48.203.109","10.1.3.206","QUIC","68","Protected Payload (KP0)"
"30","1.205050100","10.1.3.206","23.48.203.109","QUIC","71","Protected Payload (KP0), DCID=3958f8e736405f2e"
